entity_group_id,entity_category,entity_subgroup_id,count
Private,Contractor,General,2654
Private,Builder,Residential,532
Private,Contractor,Electrical,520
Private,Real Estate,Residential,516
Private,Contractor,Plumbing,332
Private,Contractor,HVAC,261
Private,Contractor,Landscape,177
Private,Contractor,Roofing,151
Private,Contractor,Excavation,139
Private,Engineering,Civil,103
Public,Agency,Water,91
Private,Engineering,Full Service,85
Private,Contractor,Remodeling,81
Private,Real Estate,Commercial,81
Private,Contractor,Mechanical,68
Private,Contractor,Concrete,61
Private,Real Estate,Land,60
Private,Inspection,Home,60
Private,Contractor,Irrigation,53
Public,Agency,Municipality,53
Private,Contractor,Pools,46
Private,Contractor,"Plumbing, Mechanical",45
Private,Contractor,Fire,43
Private,Other,General,38
Private,Contractor,Restoration,33
Private,Contractor,Solar,31
Private,Agency,Water,29
Private,Contractor,Sign,28
Private,Engineering,Structural,28
Private,Engineering,"Civil, Surveying",28
Private,Contractor,Other,25
Private,Contractor,Fence,24
Private,Contractor,"Landscape, Irrigation",22
Private,Contractor,Siding,22
Private,Contractor,"Remodeling, General",20
Private,Contractor,Well Drilling,20
Public,Agency,Ancillary,19
Private,Architect,Landscape,19
Private,Contractor,"Electrical, General",17
Private,Contractor,Paving,17
Private,Engineering,Surveying,17
Private,Contractor,Steel,17
Private,Contractor,Framing,16
Private,Engineering,"Full Service, Planner, Surveying",16
Private,Engineering,"Full Service, Surveying",16
Private,Contractor,Cabinets,16
Private,Inspection,Other,15
Private,Contractor,Masonry,14
Public,Agency,Road,14
Private,Contractor,Metal,14
Private,Contractor,Lawn Care,13
Private,Engineering,Water,12
Private,Engineering,Mechanical,12
Private,Contractor,"Landscape, General",12
Private,Contractor,Security,11
Public,Agency,Land,11
Private,Contractor,Carpentry,11
Private,Contractor,Drywall,11
Private,Builder,General,11
Private,Contractor,Water,10
Private,Contractor,"Electrical, Controls",10
Private,Contractor,Glass,9
Private,Contractor,Millwork,9
Private,Contractor,Painting,9
Private,Contractor,Tree Service,9
Private,Engineering,Environmental,9
Private,Contractor,"Fire, Security",8
Private,Engineering,Geotechnical,8
Private,Contractor,Communications,8
Private,Contractor,Demolition,8
Public,Agency,Fire,8
Private,Contractor,Windows,8
Private,Contractor,Utilities,8
Private,Engineering,Planner,7
Private,Real Estate,"Residential,Land",7
Private,Engineering,Consulting,7
Private,Engineering,"Civil, Planning, Surveying",7
Private,Real Estate,"Residential,Commercial",7
Private,Contractor,Commercial,6
Private,Contractor,"Landscape, Lawn Care",6
Private,Contractor,"Excavation, General",6
Private,Contractor,Flooring,6
Private,Contractor,"Roofing, General",5
Private,Contractor,"Siding, Windows",5
Private,Contractor,Insulation,5
Private,Contractor,"Irrigation, Landscape",5
Private,Contractor,"Plumbing, General",5
Private,Contractor,"Fireplace, Metal",5
Public,Agency,Irrigation,5
Public,Agency,Environmental,5
Private,Contractor,"Restoration, General",5
Private,Contractor,Septic,5
Private,Contractor,"Sand, Gravel",4
Private,Contractor,"Fence, Landscape",4
Private,Contractor,Stucco,4
Private,Builder,Commercial,4
Private,Contractor,Fencing,4
Private,Contractor,"Decks, Patio Covers",4
Private,Contractor,"Concrete, General",4
Private,Contractor,"Excavation, Grading",4
Private,Engineering,"Civil, Structural",3
Private,Engineering,"Civil, Surveying, Land Planning, Architect",3
Private,Contractor,"Tile, Stone",3
Private,Engineering,Design,3
Private,Engineering,"Civil, Planner, Surveying",3
Private,Engineering,"Civil, Planner",3
