original_id,Entity Group ID,Entity Category,Entity Subgroup ID,Name,original_classification_dict
1,Firm,Survey,Surveyor,2 Bar K Land Surveying,"{'original_id': 1, 'Name': '2 Bar K Land Surveying', 'Entity Group ID': 'Firm', 'Entity Category': 'Survey', 'Entity Subgroup ID': 'Surveyor'}"
2,Firm,Survey,Surveyor,4 Rivers Surveying Inc.,"{'original_id': 2, 'Name': '4 Rivers Surveying Inc.', 'Entity Group ID': 'Firm', 'Entity Category': 'Survey', 'Entity Subgroup ID': 'Surveyor'}"
4,Firm,Survey,Surveyor,"Accurate Surveying & Mapping, P.C.","{'original_id': 4, 'Name': 'Accurate Surveying & Mapping, P.C.', 'Entity Group ID': 'Firm', 'Entity Category': 'Survey', 'Entity Subgroup ID': 'Surveyor'}"
5,Agency,,Public Agency,Ada County Highway District,"{'original_id': 5, 'Name': 'Ada County Highway District', 'Entity Group ID': 'Agency', 'Entity Category': None, 'Entity Subgroup ID': 'Public Agency'}"
6,Agency,,Public Agency,Ada County Surveyor's Office,"{'original_id': 6, 'Name': ""Ada County Surveyor's Office"", 'Entity Group ID': 'Agency', 'Entity Category': None, 'Entity Subgroup ID': 'Public Agency'}"
7,Firm,Survey,Surveyor,Adamson Survey,"{'original_id': 7, 'Name': 'Adamson Survey', 'Entity Group ID': 'Firm', 'Entity Category': 'Survey', 'Entity Subgroup ID': 'Surveyor'}"
8,Firm,,Surveyor,"Al's Pin Pounders, LLC","{'original_id': 8, 'Name': ""Al's Pin Pounders, LLC"", 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Surveyor'}"
9,Firm,Engineering - Mechanical,Engineer,"Alpha Engineers, Inc.","{'original_id': 9, 'Name': 'Alpha Engineers, Inc.', 'Entity Group ID': 'Firm', 'Entity Category': 'Engineering - Mechanical', 'Entity Subgroup ID': 'Engineer'}"
10,Firm,Survey,Surveyor,ALS,"{'original_id': 10, 'Name': 'ALS', 'Entity Group ID': 'Firm', 'Entity Category': 'Survey', 'Entity Subgroup ID': 'Surveyor'}"
13,Firm,,Surveyor,"Anderson-David & Associates, Inc.","{'original_id': 13, 'Name': 'Anderson-David & Associates, Inc.', 'Entity Group ID': 'Firm', 'Entity Category': None, 'Entity Subgroup ID': 'Surveyor'}"
