original_id,Name,Entity Group ID,Entity Category,Entity Subgroup ID
36,"Chronic & Associates, Inc.",Firm,,
45,Daniels Foothills Exchange,Firm,,
117,PEI Services,Firm,,
2659,"Mech-Masters, Inc.",Firm,,Contractor
2660,Base Constructors,Firm,,Builder
2663,"Western Specialty Structures, LLC",Firm,,Builder
2668,Top Drawer Development,Firm,,Builder
2676,Southwind Builders LLC,Firm,,Builder
2708,"Alloway Electric Co., Inc.",Firm,,Contractor
2710,"Buss Mechanical Services, Inc.",Firm,,Contractor
2711,Carlon Heating & Air LLC,Firm,,Contractor
2712,Lee Electric,Firm,,Contractor
3050,Mustafa Pajazetovic Electrical,Individual,,Contractor
3051,Brian Knott Electrical,Individual,,Contractor
3053,Tim LaMott Mechanical,Individual,,Contractor
3054,David Stephenson Plumbing,Individual,,Contractor
3055,Jon VanVleet Plumbing,Individual,,Contractor
3079,U Save Excavation,Firm,Construction - Excavating,Contractor
3080,M & B Electric LLC,Firm,,Contractor
3081,"Kahala Electric, LLC",Firm,,Contractor
3082,"Ray's Heating, Plumbing, Electric Inc",Firm,,Contractor
3083,Irish Electric,Firm,,Contractor
3112,"Upper Country Electric, Inc",Firm,,Contractor
3113,Gram Electric,Firm,,Contractor
3114,Current Electric Company,Firm,,Contractor
3115,J.V. Electric,Firm,,Contractor
3116,Solid Rock Electric,Firm,,Contractor
3122,D & A Enterprises,Firm,,Contractor
3123,Owyhee Heating & Air Conditioning,Firm,,Contractor
3124,Universal Heating & Air Conditioning LLC,Firm,,Contractor
3125,Two Beers Electric,Firm,,Contractor
3216,"Elektra Services, LLC",Firm,,Contractor
3219,"L2 Excavation, LLC",Firm,Construction - Excavating,Contractor
3220,Controlled Comfort Heating and Cooling LLC,Firm,,Contractor
3221,"R & D Plumbing, Inc.",Firm,,Contractor
3222,"Acres Enterprise, LLC",Firm,,Contractor
3256,"H 2 Electrical, Inc.",Firm,,Contractor
3258,"Northwest Technologies, Inc.",Firm,,Contractor
3259,American Mechanical Corporation,Firm,,Contractor
3260,M & M Electric LLC,Firm,,Contractor
3261,"Lott Electric, Inc.",Firm,,Contractor
3297,Alternative Energy Solutions,Firm,,Contractor
3299,Amped Electric LLC,Firm,,Contractor
3300,Architectural Metalworks,Firm,Architectural,Architect
3301,Baker's Plumbing Solutions L.L.C.,Firm,,Contractor
3379,Clark's HVAC,Firm,,Contractor
3380,"Coelho Plumbing Service, Inc.",Firm,,Contractor
3381,Coltrin Electric,Firm,,Contractor
3403,Bryson Mechanical Heating & Air Conditioning,Firm,,Contractor
3405,Cornerstone Electric,Firm,,Contractor
3511,M. Moody's Plumbing Service,Firm,,Contractor
3512,Mackey Electric,Firm,,Contractor
3513,"Magee's Plumbing, Inc.",Firm,,Contractor
3514,Majestic Heating and Cooling LLC,Firm,,Contractor
3515,"Maple Tree Holdings, LLC",Firm,,Contractor
