original_id,entity_group_id,entity_category,entity_subgroup_id,confidence,candidates,ID,Entity Group ID,Entity Subgroup ID,Entity Category,Name,IDSOS Name,status
1,Private,Surveying,,98.0,"[{'entity_group_id': 'Private', 'entity_category': 'Engineering', 'entity_subgroup_id': 'Surveying', 'confidence': 40.0, 'reasoning': 'If the firm also provides engineering services, it could be classified under Engineering with Surveying as a specialty, but the name and input data only indicate surveying.'}]",1,Firm,Surveyor,Survey,2 Bar K Land Surveying,2 Bar K Land Surveying,7.0
2,Private,Surveying,,98.0,"[{'entity_group_id': 'Private', 'entity_category': 'Engineering', 'entity_subgroup_id': 'Surveying', 'confidence': 40.0, 'reasoning': 'If the company also provides engineering services, it could be classified under Engineering, but the name and input data only indicate surveying.'}]",2,Firm,Surveyor,Survey,4 Rivers Surveying Inc.,4 RIVERS SURVEYING INC.,7.0
4,Private,Surveying,,98.0,"[{'entity_group_id': 'Private', 'entity_category': 'Engineering', 'entity_subgroup_id': 'Surveying', 'confidence': 40.0, 'reasoning': 'If the company also provides engineering services, it could be classified under Engineering, but the name and input data only indicate surveying and mapping.'}]",4,Firm,Surveyor,Survey,"Accurate Surveying & Mapping, P.C.","ACCURATE SURVEYING & MAPPING, P.C.",7.0
5,Public,Agency,Road,99.0,"[{'entity_group_id': 'Public', 'entity_category': 'Agency', 'entity_subgroup_id': 'Municipality', 'confidence': 60.0, 'reasoning': 'Highway Districts are often considered road agencies, but could also be considered a municipal agency depending on jurisdiction.'}]",5,Agency,Public Agency,,Ada County Highway District,,7.0
6,Public,Agency,Land,95.0,"[{'entity_group_id': 'Public', 'entity_category': 'Agency', 'entity_subgroup_id': 'Assessor', 'confidence': 60.0, 'reasoning': ""Surveyor's Office could be considered a land or assessor agency, but 'Land' is more directly related to surveying.""}]",6,Agency,Public Agency,,Ada County Surveyor's Office,,7.0
7,Private,Surveying,,98.0,"[{'entity_group_id': 'Private', 'entity_category': 'Engineering', 'entity_subgroup_id': 'Surveying', 'confidence': 40.0, 'reasoning': 'If the firm also provides engineering services, it could be classified under Engineering with Surveying as a specialty, but the name and input data indicate a primary focus on surveying.'}]",7,Firm,Surveyor,Survey,Adamson Survey,Adamson Survey,7.0
8,Private,Surveying,,95.0,"[{'entity_group_id': 'Private', 'entity_category': 'Other', 'entity_subgroup_id': '', 'confidence': 20.0, 'reasoning': 'If the business is not strictly surveying, but the name and subgroup strongly suggest surveying as the main activity.'}]",8,Firm,Surveyor,,"Al's Pin Pounders, LLC","AL'S PIN POUNDERS, LLC",7.0
9,Private,Engineering,Mechanical,99.0,"[{'entity_group_id': 'Private', 'entity_category': 'Other', 'entity_subgroup_id': '', 'confidence': 10.0, 'reasoning': ""If the engineering specialty was unclear, but 'Mechanical' is explicit in both the name and category.""}]",9,Firm,Engineer,Engineering - Mechanical,"Alpha Engineers, Inc.","ALPHA ENGINEERS, INC.",7.0
10,Private,Surveying,,95.0,"[{'entity_group_id': 'Private', 'entity_category': 'Other', 'entity_subgroup_id': '', 'confidence': 10.0, 'reasoning': 'If ALS is not a surveying firm, but the input data and subgroup indicate surveying.'}]",10,Firm,Surveyor,Survey,ALS,ALS,7.0
13,Private,Surveying,,90.0,"[{'entity_group_id': 'Private', 'entity_category': 'Engineering', 'entity_subgroup_id': 'Surveying', 'confidence': 30.0, 'reasoning': 'If Anderson-David & Associates, Inc. also provides engineering services, but the subgroup and lack of engineering in the name suggest surveying is primary.'}]",13,Firm,Surveyor,,"Anderson-David & Associates, Inc.","Anderson Survey Group, Inc.",7.0
15,Private,Surveying,,95.0,"[{'entity_group_id': 'Private', 'entity_category': 'Engineering', 'entity_subgroup_id': 'Full Service', 'confidence': 60.0, 'reasoning': ""The name includes 'Planning', which sometimes indicates engineering or planning services, but 'Land Surveying' is primary and matches the Surveying rule.""}]",15,Firm,Surveyor,,Associated Land Surveying and Planning,Associated Land Surveying and Planning,7.0
16,Private,Surveying,,100.0,[],16,Firm,Surveyor,Survey,Atlas Land Surveying,ATLAS LAND SURVEYING,7.0
18,Private,Engineering,Civil,100.0,[],18,Firm,Engineer,Engineering - Civil,"Bailey Engineering, Inc.","BAILEY ENGINEERING, INC.",7.0
19,Private,Engineering,Structural,100.0,[],19,Firm,Engineer,Engineering - Structural,"Basic Engineering, P.C.","Basic Engineering, P.C.",7.0
20,Private,Surveying,,100.0,[],20,Firm,Surveyor,Survey,"Bergey Land Surveying, PLLC","BERGEY LAND SURVEYING, PLLC",7.0
21,Private,Engineering,Civil,95.0,"[{'entity_group_id': 'Private', 'entity_category': 'Surveying', 'entity_subgroup_id': '', 'confidence': 60.0, 'reasoning': ""The input subgroup includes 'Surveyor', which could indicate surveying services, but the primary category and name emphasize engineering, specifically civil.""}]",21,Firm,"Engineer, Surveyor",Engineering - Civil,Blakley Butrula Engineers,Blakley Butrula Engineers,7.0
23,Public,Agency,Municipality,98.0,"[{'entity_group_id': 'Public', 'entity_category': 'Agency', 'entity_subgroup_id': 'Ancillary', 'confidence': 40.0, 'reasoning': ""If 'Municipality' was not a valid subgroup, 'Ancillary' could be used, but 'City' clearly indicates a municipal agency.""}]",23,Agency,Public Agency,,City of Boise City,City of Boise City,7.0
24,Public,Agency,Water,85.0,"[{'entity_group_id': 'Public', 'entity_category': 'Agency', 'entity_subgroup_id': 'Municipality', 'confidence': 80.0, 'reasoning': ""The department is part of the city, so 'Municipality' could also apply, but 'Public Works' often refers to water, sewer, and infrastructure.""}]",24,Firm,Public Agency,,Boise City Public Works Department,,7.0
26,Private,Engineering,Full Service,95.0,"[{'entity_group_id': 'Private', 'entity_category': 'Builder', 'entity_subgroup_id': '', 'confidence': 40.0, 'reasoning': ""The input subgroup includes 'Builder', but the name and primary category are engineering-focused, and 'Full Service' is a valid engineering subgroup.""}]",26,Firm,"Builder, Engineer",Engineering - Full Service,"Briggs Engineering, Inc.","BRIGGS ENGINEERING, INC.",7.0
28,Private,Surveying,,99.0,"[{'entity_group_id': 'Private', 'entity_category': 'Engineering', 'entity_subgroup_id': '', 'confidence': 30.0, 'reasoning': 'The name and input category are clearly about surveying, but if surveying was part of an engineering firm, it could be considered under engineering.'}]",28,Firm,Surveyor,Survey,"Brokaw Surveying and Mapping, LLC","BROKAW SURVEYING AND MAPPING, LLC",7.0
29,Private,Surveying,,98.0,"[{'entity_group_id': 'Private', 'entity_category': 'Engineering', 'entity_subgroup_id': 'Surveying', 'confidence': 40.0, 'reasoning': 'If the firm also provides engineering services, it could be classified under Engineering with Surveying as a specialty, but the name and input data only indicate surveying.'}]",29,Firm,Surveyor,,Byrns Land Survey,Byrns Land Survey,7.0
31,Private,Engineering,,95.0,"[{'entity_group_id': 'Private', 'entity_category': 'Engineering', 'entity_subgroup_id': 'Full Service', 'confidence': 60.0, 'reasoning': 'The name does not specify a specialty, but if the firm is known to be full service, this could apply. Defaulting to general Engineering due to lack of detail.'}]",31,Firm,Engineer,,"Cardno WRG, Inc.","CARDNO WRG, INC.",7.0
