Entity Group ID,Entity Category,Entity Subgroup ID,Name,IDSOS Name,original_id,entity_group_id,entity_category,entity_subgroup_id,confidence,candidates,status,needs_audit
Firm,Survey,Surveyor,2 Bar K Land Surveying,2 Bar K Land Surveying,1,Private,Surveying,,98.0,"[{'entity_group_id': 'Private', 'entity_category': 'Engineering', 'entity_subgroup_id': 'Surveying', 'confidence': 40.0, 'reasoning': 'If the firm also provides engineering services, it could be classified under Engineering with Surveying as a specialty, but the name and input data only indicate surveying.'}]",7.0,0
Firm,Survey,Surveyor,4 Rivers Surveying Inc.,4 RIVERS SURVEYING INC.,2,Private,Surveying,,98.0,"[{'entity_group_id': 'Private', 'entity_category': 'Engineering', 'entity_subgroup_id': 'Surveying', 'confidence': 40.0, 'reasoning': 'If the company also provides engineering services, it could be classified under Engineering, but the name and input data only indicate surveying.'}]",7.0,0
Firm,Survey,Surveyor,"Accurate Surveying & Mapping, P.C.","ACCURATE SURVEYING & MAPPING, P.C.",4,Private,Surveying,,98.0,"[{'entity_group_id': 'Private', 'entity_category': 'Engineering', 'entity_subgroup_id': 'Surveying', 'confidence': 40.0, 'reasoning': 'If the company also provides engineering services, it could be classified under Engineering, but the name and input data only indicate surveying and mapping.'}]",7.0,0
Agency,,Public Agency,Ada County Highway District,,5,Public,Agency,Road,99.0,"[{'entity_group_id': 'Public', 'entity_category': 'Agency', 'entity_subgroup_id': 'Municipality', 'confidence': 60.0, 'reasoning': 'Highway Districts are often considered road agencies, but could also be considered a municipal agency depending on jurisdiction.'}]",7.0,0
Agency,,Public Agency,Ada County Surveyor's Office,,6,Public,Agency,Land,95.0,"[{'entity_group_id': 'Public', 'entity_category': 'Agency', 'entity_subgroup_id': 'Assessor', 'confidence': 60.0, 'reasoning': ""Surveyor's Office could be considered a land or assessor agency, but 'Land' is more directly related to surveying.""}]",7.0,0
Firm,Survey,Surveyor,Adamson Survey,Adamson Survey,7,Private,Surveying,,98.0,"[{'entity_group_id': 'Private', 'entity_category': 'Engineering', 'entity_subgroup_id': 'Surveying', 'confidence': 40.0, 'reasoning': 'If the firm also provides engineering services, it could be classified under Engineering with Surveying as a specialty, but the name and input data indicate a primary focus on surveying.'}]",7.0,0
Firm,,Surveyor,"Al's Pin Pounders, LLC","AL'S PIN POUNDERS, LLC",8,Private,Surveying,,95.0,"[{'entity_group_id': 'Private', 'entity_category': 'Other', 'entity_subgroup_id': '', 'confidence': 20.0, 'reasoning': 'If the business is not strictly surveying, but the name and subgroup strongly suggest surveying as the main activity.'}]",7.0,0
Firm,Engineering - Mechanical,Engineer,"Alpha Engineers, Inc.","ALPHA ENGINEERS, INC.",9,Private,Engineering,Mechanical,99.0,"[{'entity_group_id': 'Private', 'entity_category': 'Other', 'entity_subgroup_id': '', 'confidence': 10.0, 'reasoning': ""If the engineering specialty was unclear, but 'Mechanical' is explicit in both the name and category.""}]",7.0,0
Firm,Survey,Surveyor,ALS,ALS,10,Private,Surveying,,95.0,"[{'entity_group_id': 'Private', 'entity_category': 'Other', 'entity_subgroup_id': '', 'confidence': 10.0, 'reasoning': 'If ALS is not a surveying firm, but the input data and subgroup indicate surveying.'}]",7.0,0
Firm,,Surveyor,"Anderson-David & Associates, Inc.","Anderson Survey Group, Inc.",13,Private,Surveying,,90.0,"[{'entity_group_id': 'Private', 'entity_category': 'Engineering', 'entity_subgroup_id': 'Surveying', 'confidence': 30.0, 'reasoning': 'If Anderson-David & Associates, Inc. also provides engineering services, but the subgroup and lack of engineering in the name suggest surveying is primary.'}]",7.0,0
Firm,,Surveyor,Associated Land Surveying and Planning,Associated Land Surveying and Planning,15,Private,Surveying,,95.0,"[{'entity_group_id': 'Private', 'entity_category': 'Engineering', 'entity_subgroup_id': 'Full Service', 'confidence': 60.0, 'reasoning': ""The name includes 'Planning', which sometimes indicates engineering or planning services, but 'Land Surveying' is primary and matches the Surveying rule.""}]",7.0,0
Firm,Survey,Surveyor,Atlas Land Surveying,ATLAS LAND SURVEYING,16,Private,Surveying,,100.0,[],7.0,0
Firm,Engineering - Civil,Engineer,"Bailey Engineering, Inc.","BAILEY ENGINEERING, INC.",18,Private,Engineering,Civil,100.0,[],7.0,0
Firm,Engineering - Structural,Engineer,"Basic Engineering, P.C.","Basic Engineering, P.C.",19,Private,Engineering,Structural,100.0,[],7.0,0
Firm,Survey,Surveyor,"Bergey Land Surveying, PLLC","BERGEY LAND SURVEYING, PLLC",20,Private,Surveying,,100.0,[],7.0,0
Firm,Engineering - Civil,"Engineer, Surveyor",Blakley Butrula Engineers,Blakley Butrula Engineers,21,Private,Engineering,Civil,95.0,"[{'entity_group_id': 'Private', 'entity_category': 'Surveying', 'entity_subgroup_id': '', 'confidence': 60.0, 'reasoning': ""The input subgroup includes 'Surveyor', which could indicate surveying services, but the primary category and name emphasize engineering, specifically civil.""}]",7.0,0
Agency,,Public Agency,City of Boise City,City of Boise City,23,Public,Agency,Municipality,98.0,"[{'entity_group_id': 'Public', 'entity_category': 'Agency', 'entity_subgroup_id': 'Ancillary', 'confidence': 40.0, 'reasoning': ""If 'Municipality' was not a valid subgroup, 'Ancillary' could be used, but 'City' clearly indicates a municipal agency.""}]",7.0,0
